Table Names-1,Title,Author,Price,ISBN,Previous Rank,Weeks of list,Rank,Table Names,File Paths
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Against All Odds,Danielle Steel,8.99,9781101883938,7,4,9,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,1984,George Orwell,9.99,9780451524935,,175,10,Mass Market,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Lincoln in the Bardo,George Saunders,,,2,2,1,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Underground Railroad,Colson Whitehead,,,1,3,2,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Beartown,Fredrik Backman,,,7,2,3,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Pachinko,Min Jin Lee,,,3,14,4,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Woman in Cabin 10,Ruth Ware,,,5,45,5,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,All the Light We Cannot See,Anthony Doerr,,,8,46,6,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,We Were the Lucky Ones,Georgia Hunter,,,6,7,7,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Ready Player One,Ernest Cline,,,10,2,8,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Women in the Castle,Jessica Shattuck,,,4,7,9,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Handmaid's Tale,Margaret Atwood,,,9,43,10,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Sun and Her Flowers,Rupi Kaur,,,12,20,11,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Call Me by Your Name,Andre Aciman,,,15,6,12,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Milk and Honey,Rupi Kaur,,,13,76,13,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Couple Next Door,Shari Lapena,,,11,38,14,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Perfect Nanny,Leila Slimani,,,,4,15,Trade Paperback Fiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,You Are a Badass,Jen Sincero,16,9780762447695,1,135,1,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Silk Roads,Peter Frankopan,20,9781101912379,2,12,2,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,12 Strong,Doug Stanton,18,9781501178511,3,8,3,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Invisible Influence,Jonah Berger,16,9781476759739,4,35,4,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Being Mortal,Atul Gawande,16,9781250076229,5,24,5,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,HBR's 10 Must Reads on Emotional Intelligence,Harvard Business School Press,24.95,9781633690196,7,77,6,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,HBR's 10 Must Reads on Managing Yourself,Harvard Business School Press,24.95,9781422157992,8,57,7,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Evicted,Matthew Desmond,17,9780553447453,9,40,8,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,How to Love,Thich Nhat Hanh,9.95,9781937006884,13,21,9,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Black Edge,Sheelah Kolhatkar,18,9780812985795,14,3,10,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Lost City of the Monkey God,Douglas J. Preston,15.99,9781455540013,6,23,11,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Start With Why,Simon Sinek,16,9781591846444,11,3,12,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Undoing Project,Michael Lewis,16.95,9780393354775,10,16,13,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,On Tyranny,Timothy Snyder,7.99,9780804190114,,48,14,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,We Should All Be Feminists,Chimamanda Ngozi Adichie,7.95,9781101911761,,80,15,Trade Paperback Nonfiction,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Hate U Give,Angie Thomas,17.99,9780062498533,,,1,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Turtles All the Way Down,John Green,19.99,9780525555360,,,2,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Every Day,David Levithan,10.99,9780525581611,,,3,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,10.99,9780062792167,,,4,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Tempests and Slaughter,Tamora Pierce,18.99,9780375847110,,,5,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Book of Dust: La Belle Sauvage,Philip Pullman,22.99,9780375815300,,,6,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Prince and the Dressmaker,Jen Wang,16.99,9781626723634,,,7,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Cruel Prince,Holly Black,18.99,9780316310277,,,8,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,We Are Okay,Nina LaCour,17.99,9780525425892,,,9,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Salt to the Sea,Ruta Sepetys,10.99,9780142423622,,,10,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Long Way Down,Jason Reynolds,17.99,9781481438254,,,11,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,"Everything, Everything",Nicola Yoon,10.99,9781524769604,,,12,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Fault in Our Stars,John Green,12.99,9780142424179,,,13,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,The Book Thief,Markus Zusak,12.99,9780385754729,,,14,Young Adult,ABA Bestsellers 02-21-18.xlsx
ABA Bestsellers 02-21-18.xlsx/Early & Middle,Dear Martin,Nic Stone,17.99,9781101939499,,,15,Young Adult,ABA Bestsellers 02-21-18.xlsx
